               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.023593,           0.0090529,           0.0042929,             0.96077,             0.97964,             0.98567,             0.71655,            0.018596,           0.0070278,           0.0023357,           0.0076679,           0.0076679,           0.0076679
                  36,            0.023586,           0.0090701,           0.0040461,              0.9733,             0.97207,              0.9882,             0.71434,            0.018737,           0.0070678,           0.0022694,            0.007543,            0.007543,            0.007543
                  37,            0.023431,           0.0090105,           0.0038604,             0.97285,             0.96481,             0.98587,             0.71603,            0.018648,           0.0070467,           0.0024354,            0.007416,            0.007416,            0.007416
                  38,            0.023288,           0.0089369,           0.0041261,             0.97856,             0.96069,             0.98696,             0.71506,             0.01854,           0.0069935,           0.0023614,           0.0072872,           0.0072872,           0.0072872
                  39,            0.023196,           0.0089656,           0.0039841,             0.96506,             0.97715,             0.98632,             0.71214,            0.018653,           0.0070106,           0.0022827,           0.0071566,           0.0071566,           0.0071566
                  40,            0.023182,           0.0089053,           0.0037221,             0.97854,             0.96591,             0.98948,             0.71918,            0.018635,             0.00698,           0.0022369,           0.0070243,           0.0070243,           0.0070243
                  41,            0.023066,            0.008781,           0.0039719,             0.96977,             0.97316,             0.98648,             0.72234,            0.018257,           0.0069116,           0.0023278,           0.0068906,           0.0068906,           0.0068906
                  42,            0.023099,           0.0088944,           0.0037977,             0.97392,             0.97698,             0.98817,             0.72083,            0.018338,           0.0069123,           0.0024188,           0.0067555,           0.0067555,           0.0067555
                  43,            0.022796,           0.0088172,           0.0037676,             0.96978,              0.9764,             0.98609,             0.72596,             0.01829,           0.0069181,           0.0023195,           0.0066191,           0.0066191,           0.0066191
                  44,            0.022831,           0.0088545,           0.0038642,             0.98086,             0.96143,             0.98665,             0.72382,            0.018265,           0.0069197,           0.0022697,           0.0064816,           0.0064816,           0.0064816
                  45,            0.022882,           0.0088161,           0.0034694,             0.97406,             0.96903,             0.98636,              0.7254,            0.018261,           0.0069011,           0.0023555,           0.0063432,           0.0063432,           0.0063432
                  46,            0.022659,           0.0086717,           0.0034746,             0.97158,             0.96931,             0.98564,             0.72346,            0.018201,           0.0068724,           0.0022901,            0.006204,            0.006204,            0.006204
                  47,            0.022462,           0.0088907,            0.003723,             0.97457,             0.97575,             0.98847,             0.72086,            0.018212,           0.0068718,            0.002162,            0.006064,            0.006064,            0.006064
                  48,            0.022383,           0.0086464,           0.0033834,             0.97166,             0.97757,             0.98696,              0.7247,            0.018133,           0.0068447,           0.0021733,           0.0059235,           0.0059235,           0.0059235
                  49,            0.022482,           0.0087301,           0.0037893,             0.97766,             0.96917,              0.9879,             0.72396,            0.018121,           0.0068226,           0.0021833,           0.0057826,           0.0057826,           0.0057826
                  50,            0.022369,           0.0086305,           0.0036167,             0.97341,             0.97517,             0.98952,              0.7229,            0.018034,            0.006808,           0.0021987,           0.0056413,           0.0056413,           0.0056413
                  51,            0.022303,           0.0086591,           0.0037395,              0.9704,             0.97531,             0.98762,             0.72563,            0.018081,           0.0068336,           0.0022695,              0.0055,              0.0055,              0.0055
                  52,             0.02244,           0.0086127,             0.00334,             0.97175,             0.97774,              0.9873,              0.7247,            0.018092,           0.0068352,           0.0020755,           0.0053587,           0.0053587,           0.0053587
                  53,            0.022129,            0.008654,           0.0032899,              0.9777,             0.96985,             0.98646,             0.72568,            0.018048,            0.006791,           0.0021229,           0.0052174,           0.0052174,           0.0052174
                  54,             0.02203,           0.0086639,           0.0032514,              0.9798,             0.97112,             0.98789,              0.7265,            0.017982,           0.0067827,           0.0021555,           0.0050765,           0.0050765,           0.0050765
                  55,            0.021981,           0.0086737,           0.0032142,             0.97406,             0.97223,             0.98707,             0.72542,            0.017971,           0.0067608,           0.0022489,            0.004936,            0.004936,            0.004936
                  56,            0.021829,           0.0085978,           0.0031102,             0.97321,             0.97435,             0.98742,             0.72533,            0.017917,           0.0067584,           0.0021783,            0.004796,            0.004796,            0.004796
                  57,            0.021958,           0.0083509,           0.0032067,             0.97981,             0.96597,              0.9858,             0.72724,            0.017903,           0.0067295,           0.0022355,           0.0046568,           0.0046568,           0.0046568
