               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.023744,           0.0091401,           0.0041761,             0.97401,             0.97354,             0.98619,             0.71303,            0.018674,           0.0070558,           0.0023359,           0.0076679,           0.0076679,           0.0076679
                  36,            0.023737,           0.0090665,           0.0041221,             0.96961,             0.97605,             0.98703,             0.71139,            0.018702,           0.0070439,           0.0025716,            0.007543,            0.007543,            0.007543
                  37,            0.023386,           0.0090453,           0.0041335,             0.97448,             0.97518,             0.98807,             0.71691,            0.018513,           0.0070024,           0.0022624,            0.007416,            0.007416,            0.007416
                  38,            0.023425,            0.008789,           0.0039807,              0.9705,             0.97297,              0.9857,             0.71373,            0.018582,           0.0070386,           0.0023222,           0.0072872,           0.0072872,           0.0072872
                  39,            0.023339,            0.008988,           0.0039819,             0.96518,             0.97864,             0.98753,             0.71539,            0.018531,           0.0069885,           0.0024498,           0.0071566,           0.0071566,           0.0071566
                  40,            0.023331,           0.0089343,           0.0036366,             0.97453,             0.96634,             0.98711,             0.71739,            0.018397,           0.0069637,           0.0023138,           0.0070243,           0.0070243,           0.0070243
                  41,            0.023216,            0.008914,           0.0039282,             0.97072,             0.97711,             0.98505,             0.71866,            0.018448,           0.0069447,           0.0022088,           0.0068906,           0.0068906,           0.0068906
                  42,            0.023162,           0.0089564,           0.0036795,             0.97332,             0.97754,             0.98406,             0.71499,            0.018506,           0.0069832,           0.0022765,           0.0067555,           0.0067555,           0.0067555
                  43,             0.02309,           0.0088888,           0.0038607,             0.97718,             0.97193,             0.98364,             0.71101,            0.018628,           0.0070606,           0.0024633,           0.0066191,           0.0066191,           0.0066191
                  44,            0.023157,           0.0089436,           0.0037979,             0.97794,             0.97861,             0.98853,             0.72202,            0.018439,           0.0069736,           0.0022124,           0.0064816,           0.0064816,           0.0064816
                  45,            0.022702,           0.0088411,           0.0036716,             0.97538,             0.97416,               0.986,             0.71925,            0.018342,           0.0069094,           0.0022924,           0.0063432,           0.0063432,           0.0063432
                  46,            0.022791,           0.0089087,           0.0036071,             0.97168,             0.97449,             0.98616,             0.71805,            0.018238,           0.0068874,           0.0023833,            0.006204,            0.006204,            0.006204
                  47,            0.022834,           0.0087287,           0.0039819,             0.97211,             0.98123,             0.98903,             0.71993,            0.018363,           0.0068829,           0.0022386,            0.006064,            0.006064,            0.006064
                  48,             0.02258,           0.0086803,           0.0033907,             0.98019,             0.96434,             0.98852,             0.72412,            0.018119,           0.0068361,           0.0023413,           0.0059235,           0.0059235,           0.0059235
                  49,            0.022556,           0.0088009,           0.0035737,             0.98026,             0.97114,             0.98802,             0.72185,            0.018188,            0.006855,           0.0022645,           0.0057826,           0.0057826,           0.0057826
                  50,            0.022599,           0.0087928,           0.0036749,             0.97095,             0.97731,             0.98591,              0.7226,            0.018151,           0.0068131,           0.0023499,           0.0056413,           0.0056413,           0.0056413
                  51,            0.022158,           0.0085491,           0.0037254,             0.97089,             0.97558,             0.98718,             0.72589,            0.018113,           0.0068322,           0.0022996,              0.0055,              0.0055,              0.0055
                  52,             0.02225,           0.0086693,           0.0031847,             0.97773,             0.98011,             0.98866,             0.72556,            0.018092,           0.0068021,           0.0020961,           0.0053587,           0.0053587,           0.0053587
                  53,            0.022383,           0.0087131,           0.0037022,             0.97753,             0.97479,              0.9858,             0.72575,            0.018037,           0.0068212,           0.0022118,           0.0052174,           0.0052174,           0.0052174
                  54,            0.022078,           0.0085004,           0.0034963,             0.97535,             0.98032,             0.98905,             0.73018,            0.017859,           0.0067696,           0.0021028,           0.0050765,           0.0050765,           0.0050765
                  55,            0.022137,           0.0085441,           0.0035723,             0.97935,             0.97346,             0.98731,             0.72518,             0.01807,           0.0067918,           0.0021646,            0.004936,            0.004936,            0.004936
                  56,            0.021995,           0.0086278,           0.0033398,             0.97775,             0.96854,             0.98696,             0.73021,            0.018031,           0.0067817,           0.0022796,            0.004796,            0.004796,            0.004796
                  57,            0.021843,           0.0087002,           0.0031591,             0.97258,             0.97568,             0.98675,             0.72847,            0.017999,           0.0067739,           0.0022819,           0.0046568,           0.0046568,           0.0046568
                  58,            0.021789,            0.008486,           0.0032832,              0.9756,             0.97537,              0.9884,              0.7244,            0.017954,           0.0067661,            0.002263,           0.0045184,           0.0045184,           0.0045184
                  59,             0.02185,           0.0085703,           0.0031417,             0.97903,             0.97183,             0.98858,             0.72572,            0.018003,           0.0067626,           0.0022146,           0.0043809,           0.0043809,           0.0043809
